Org,Priority,Date Contacted,Phone,Contact,Title,Email,State,Timezone,Dependents,EIN,Rating,Website,About
Prostate Cancer Foundation,,,310-570-4700,Charles Ryan MD,CEO & President,,CA,Pacific,,954418411,,https://www.pcf.org,The prostate cancer foundation (pcf) is a global biomedical research funding foundation committed to ending death and suffering from prostate cancer.
Team Rubicon INC,,,310-640-8787,Arthur Delacruz,President/Chief Operating Officer,,CA,Pacific,,271720480,,https://www.teamrubiconusa.org,"Team rubicon serves communities by mobilizing veterans to continue their service, leveraging their skills and experience to help people prepare, respond, and recover from disasters and humanitarian crises."
Sierra Club,,,415-977-5500,Loren Blackford,Interim Executive Director,,CA,Pacific,,941153307,,https://www.sierraclub.org,SEE SCHEDULE O.
Challenged Athletes INC,,,858-866-0959,Kristine Entwistle,Chief Executive Director,,CA,Pacific,,330739596,,https://www.challengedathletes.org,It is the mission of the challenged athletes foundation to provide opportunities and support to people with physical disabilities so they can pursue active lifestyles through physical fitness and competitive athletics.the challenged athletes foundation believes that involvement in sports at any...
Semper Fi & America's Fund,,,760-725-3680,Karen Guenther,President & Founder,,CA,Pacific,,260086305,,https://www.thefund.org,"The fund cares for our nation's critically wounded, ill, and injured service members, veterans and military families. We assist all military branches, including both post-9/11 and vietnam veterans, providing one-on-one case management, connection and lifetime support."
Orange County Rescue Mission Inc,,,714-247-4300,Mr Jim Palmer,President,,CA,Pacific,,952479552,,https://www.rescuemission.org,"To minister the love of Jesus Christ to the Least, the Last, and the Lost of our Community through the provision of assistance in the areas of guidance, counseling, education, job training, shelter, food, clothing, health care and independent living communities."
Lifemoves,,,650-685-5880,Aubrey Merriman,CEO,,CA,Pacific,,770160469,,https://lifemoves.org,Lifemoves provides interim housing and supportive services for homeless families and individuals to rapidly return to stable housing and achieve long-term self-sufficiency.
Biola University Inc,,,562-903-6000,Barry Corey,President,,CA,Pacific,,950549600,,https://www.biola.edu,"Biola University is a private Christian university located in Southern California. For over 114 years, Biola has stood out as an institution grounded on biblically centered education, intentional spiritual development, and career preparation, where all faculty, staff and students are professing..."
From The Heart Productions,,,805-984-0098,Carole Dean,President,,CA,Pacific,,954445418,,https://fromtheheartproductions.com,"From the heart productions, inc. Is a non-profit organization dedicated to funding films that are unique and make a contribution to society."
Angel Flight West INC,,,310-390-2958,Joshua Olson,Executive Director,,CA,Pacific,,953956297,,https://www.angelflightwest.org,"Founded in 1983, angel flight west (afw) arranges free air transportation in response to health care and other compelling human needs. Afw links volunteer pilots in private aircraft with people in need whose health care and other circumstances require them to travel to and from facilities..."
Armenia Fund INC,,,818-243-6222,Maria Mehranian,President,,CA,Pacific,,954485698,,https://www.armeniafund.org,Support the people of armenia.
The Ronald Reagan Presidential,,,805-522-2977,John D Heubusch,Executive Director,,CA,Pacific,,770054631,,https://www.reaganfoundation.org,"The ronald reagan presidential foundation and institute is the sole nonprofit organization created by president reagan charged with advancing his legacy and principles: individual liberty, economic opportunity, freedom and democracy, peace through strength, and national pride."
Santa Barbara Museum of Natural History,,,805-682-4711,Luke Swetland,President & CEO,,CA,Pacific,,951643378,,https://sbnature.org,The following three guiding principles are the foundation for all of the santa barbara museum of natural history's activities: inspiring an awe for nature and a thirst for discovery; promoting sustainability; and connecting our communities. Through these principles we strive to foster a community...
Public Counsel,,,213-385-2977,Margaret M Morrow,President & CEO,,CA,Pacific,,237105149,,https://www.publiccounsel.org,"Public counsel is a nonprofit public interest law firm dedicated to advancing civil rights and racial and economic justice, as well as to amplifying the power of our clients through comprehensive legal advocacy. (see sch o for continuation)founded on and strengthened by a pro bono legal service..."
St Francis Center,,,213-747-5347,Jasmine Bravo,Executive Director,,CA,Pacific,,954479271,,https://www.sfcla.org,For the performance of charitable acts and service to the less fortunate.
Habitat for Humanity of Orange County,,,714-434-6200,Monique Davis,CEO,,CA,Pacific,,330311059,,https://www.habitatoc.org,Habitat for humanity's mission is to give witness to the christian gospel by working with god's people to build decent habitats for those who are inadequately sheltered in orange county.
Rancho Coastal Humane Society,,,760-753-6413,Judi Sanzo,President & CEO,,CA,Pacific,,952151583,,https://www.rchumanesociety.org,See schedule orancho coastal is dedicated to the rescue and shelter of abandoned companion animals. It encourages adoptions into loving homes and provides educational and community outreach programs designed to enhance the human-animal bond.
Interfaith Community Services Inc,,,760-294-6356,Greg Anglea,CEO,,CA,Pacific,,953837714,,https://www.interfaithservices.org,Interfaith Community Services empowers people in need to stabilize and improve their lives through comprehensive programs in partnership with diverse faith communities and people of compassion.
Santa Barbara Maritime Museum,,,805-962-5296,Greg Gorga,Executive Direc,,CA,Pacific,,770392953,,https://sbmm.org,Creating quality exhibits and educational experiences that celebrate the Santa Barbara Channel and illuminate our rich connections with the sea.
Sempervirens Fund,,,650-949-1453,Sara Barth,Executive Director,,CA,Pacific,,942155097,,https://www.sempervirens.org,"To protect and permanently preserve redwood forests (sequoia sempervirens), wildlife habitats, watersheds, and other important natural and scenic features of california's santa cruz mountains, and to encourage public appreciation and enjoyment of this environment."
Juma Ventures INC,,,415-371-0727,Adriane Armstrong,CEO,,CA,Pacific,,943203203,,https://www.juma.org,"Juma is a nonprofit, youth development organization that empowers low-income youth to make successful transitions to independence in adulthood. Juma owns and operates social enterprise concessions businesses at major sports and entertainment venues to provide meaningful employment and workforce..."
Shelter to Soldier INC,,,619-238-4343,Graham D Bloem,President/Di,,CA,Pacific,,460906020,,https://www.sheltertosoldier.org,"Shelter to soldier, inc. Was formed for the purpose of providing specially trained dogs to u.s."
Ocean Institute,,,949-496-2274,Wendy Marshall,President And CEO,,CA,Pacific,,330203488,,https://www.oceaninstitute.org,"The ocean institute's mission is ""using the ocean as our classroom, we inspire children to learn"". Our organization is dedicated to providing ocean and maritime history learning experiences through high-touch real-world programs."
Blue Star Families INC,,,202-630-2583,Kathy Roth-douquet,President & CEO,,CA,Pacific,,800369895,,https://www.bluestarfam.org,"Blue star families is committed to connecting one another through the unique challenges of military service and asking the larger civilian population to help as well, strengthening military families regardless of rank, branch of service or physical location, and leading military family members..."
Shelter Partnership INC,,,213-688-2188,Ryan Macy-hury,Executive Director,,CA,Pacific,,953976214,,https://www.shelterpartnership.org,"Shelter partnership, inc. Is a nonprofit organization collaboratively solving homelessness in los angeles county through policy analysis, program design, resource development, and advocacy in support of agencies and local governments that serve the homeless."
Pacific Battleship Center,,,877-446-9261,Jonathan Williams,President & CEO,,CA,Pacific,,263934742,,https://www.pacificbattleship.com,"To ignite curiosity, connect communities, and enhance understanding of america's role in maritime peace and prosperity."
Inland Empire Community Foundation,,,951-241-7777,Regis Michelle Decker,President & CEO,,CA,Pacific,,330748536,,https://www.iegives.org,Strengthening the Inland Empire through Philanthropy.
Ventura County Community Foundation,,,805-988-0196,Vanessa Bechtel,President And CEO,,CA,Pacific,,770165029,,https://www.vccf.org,"The mission of the ventura county community foundation (vccf) is connecting people, resources, and solutions to create lasting impact in our shared world."
St Vincent De Paul Society,,,415-454-3303,Christine Paquette,Executive Director,,CA,Pacific,,941207701,,https://www.vinnies.org/,"Because we believe in the dignity of all people, the st. Vincent de paul society of marin offers compassionate, individualized assistance to help our neediest neighbors obtain nutritious food, affordable housing, meaningful employment and a voice in their own community."
United States Veterans Initiative,,,213-542-2600,Stephen Peck,President & CEO,,CA,Pacific,,954382752,,https://www.usvets.org,"The successful transition of military veterans and their families through the provision of housing, counseling, career development and comprehensive support."
Foundation for Women Warriors,,,310-733-2450,Jodie Grenier,CEO,,CA,Pacific,,205523954,,https://www.foundationforwomenwarriors.org,"To serve women veterans and their children so that their next mission is clear and continues to impact the world. In 2023-2024 we served 2,095 women and children, including providing 1,049 days of childcare."
United Animal Nations DBA Redrover,,,916-429-2457,Nicole Forsyth,President & CEO,,CA,Pacific,,680124097,,https://www.redrover.org,"To bring animals out of crisis and strengthen the bond between people and animals through emergency sheltering, disaster relief services, financial assistance and education. Redrover accomplishes its mission by engaging volunteers and supporters, collaborating with others and maximizing the use of..."
Paws for Life K9 Rescue,,,310-738-0842,Alexandra Tonner,President,,CA,Pacific,,830757621,,https://pawsforlifek9.org,"Pflk9 pulls dogs from city and county shelters and places them in our paws for life (pfl) california state prison program with our incarcerated trainers who are able to dedicate all of their time to their rehabilitation. After several months of living and working with our inmate trainers, our dogs..."
Support the Enlisted Project INC,,,858-695-6810,Anthony Teravainen,CEO/President,,CA,Pacific,,203051279,,https://www.teamstepusa.org,"Support the enlisted project, inc., (step) is to assist junior active duty enlisted members and recently discharged enlisted veterans, and their families, facing financial crisis achieve long term financial self-sufficiency through counseling, education and grants to alleviate critical near term..."
Village for Vets,,,818-350-2533,Marcie Swartz,President,,CA,Pacific,,811275379,,https://villageforvets.org,Village for vets fills critical gaps in key services for homeless and at-risk veterans on their journey to stability and independence in greater los angeles and beyond.
Los Angeles Urban League Inc,,,323-299-9660,Michael A Lawson,President & CEO,,CA,Pacific,,951691288,,https://www.laul.org,"The Los Angeles Urban League (LAUL) is an independent affiliate of the National Urban League. The LAUL was founded in 1921 to help African Americans and others in underserved communities achieve their highest true social parity, economic self-reliance, power, and civil rights."
Tony La Russa's Animal Rescue Foundation,,,925-256-1273,Elena Bicker,Executive Director,,CA,Pacific,,680240341,,https://www.joybound.org,To inspire and nurture the human-animal bond and bring people and animals together to enrich each other's lives.
Jewish Film Institute,,,415-621-0556,Alexandra Leban,President & Ed,,CA,Pacific,,942854068,,https://www.jfi.org,"The Jewish Film Institute champions bold films and filmmakers that expand and evolve the Jewish story for audiences everywhere. Through its exhibition and artist development programs, JFI celebrates the spirit of film, inquiry, independence, collaboration, community, and inclusion to turn..."
Institute on Aging,,,415-750-4111,TOM Briody,President And CEO,,CA,Pacific,,942978977,,https://www.ioaging.org,"See schedule othe mission of the institute on aging is to enhance the quality of life for adults as they age by enabling them to maintain their health, well being, independence and participation in the community. Ioa fulfills this mission for a diverse community by developing and providing..."
Meals on Wheels West,,,310-394-5133,Christopher Baca,Executive Director,,CA,Pacific,,954613280,,https://www.mealsonwheelswest.org,"To provide home-delivered meals to the frail, ill, mobility impaired, senior and veteran who is unable to shop or provide for themselves. Our mission is to have these people live independently in their own homes by providing daily wellness checks through our meal delivery volunteer visits and by..."
Chinatown Community Development Center,,,415-984-1450,Yeung Malcolm,Executive Director,,CA,Pacific,,942514053,,https://www.chinatowncdc.org,SEE SCHEDULE O
Abode Services,,,510-657-7409,Louis Chicoine,Chief Executive Officer,,CA,Pacific,,943087060,,https://www.abode.org,"Abode services offers housing programs linked to supportive services for homeless families, single adults and youth. Housing options include permanent supportive housing rental subsidy assistance, rapid rehousing and emergency shelter."
Cabrillo College Foundation,,,831-479-6338,Eileen Hill,Executive Director,,CA,Pacific,,946121953,,https://www.foundation.cabrillo.edu,"To provide private support for student scholarships, emergency financial support to increase student success, innovative mentoring, and support for youth to attend college and support for academic programs and facilities."
The Richard Nixon Foundation,,,714-993-5075,James T Byron,President & CEO,,CA,Pacific,,521278303,,https://nixonfoundation.org,"The richard nixon foundation is an educational institution, a 501(c)(3) not-for-profit corporation, delaware, 1983. The richard nixon foundation applies the legacy and vision of president richard nixon to defining issues that face our nation and the world today."
Homes for Families,,,818-884-8808,Donna Deutchman,Chief Executive Officer,,CA,Pacific,,262932191,,https://www.homes4families.org,"Homes 4 families' mission is to build resiliency, economic growth, neighborhoods, and homes for veterans and their families."
Resounding Joy Inc,,,858-457-2200,Barbara Reuer,CEO,,CA,Pacific,,753190962,,https://www.resoundingjoyinc.org,"Resounding Joy is a music therapy nonprofit based in California dedicated to transforming lives through the healing power of music. Our credentialed, board-certified music therapists (MT-BC) use clinical and evidence-based interventions to help clients achieve their social, cognitive, emotional,..."
Halleck Creek Ranch,,,415-662-2488,Josefina Plaister,Board Chair,,CA,Pacific,,942581062,,https://halleckcreekranch.org,"At halleck creek ranch we empower participants by focusing on their abilities, helping them achieve personal goals, surpass limitations, and celebrate their strengths."
The Rescue Train,,,323-899-5640,Lisa Young,President & CEO,,CA,Pacific,,201897642,,https://www.therescuetrain.org,"A no kill animal welfare organization dedicated to eliminating animal suffering through hands-on rescue work, dedication to spay/neuter, shelter intervention, and education and awareness."
Troopathon,,,916-441-6197,Shawn Callahan,Executive Director,,CA,Pacific,,841627277,,https://www.troopathon.org,"Dedicated to supporting the brave men and women of our armed forces. Our mission is to provide emotional and tangible support to active duty troops while deployed to combat areas around the world, as well as to offer assistance and resources to military families and veterans in need."
Insight Housing,,,510-649-4965,Thomas Peeks,President,,CA,Pacific,,942979073,,https://www.insighthousing.org,"Ih's programs are grounded in the core components of food, emergency shelter, transitional housing, permanent housing, and rapid re-housing/ homelessness prevention services. Core programming is enriched with wraparound supportive services, ranging from benefits enrollment and advocacy for medical..."
Rancho Santa Fe Foundation,,,858-764-0519,Chris Sichel,President & CEO,,CA,Pacific,,953709639,,https://www.rsffoundation.org,"To connect donors with regional and global needs through visionary community leadership, personalized service and effective grantmaking."
Break the Barriers Inc,,,559-432-6292,Jared Hergenrader,Executive Dir.,,CA,Pacific,,770106437,,https://www.breakthebarriers.org,"Break the Barriers, a 501(c)(3) nonprofit corporation, celebrates the awareness and victories of individuals of varying abilities, ethnicities, ages, and socioeconomic statuses through exceptional programs, outreach, and inclusive education. Established in 1984, our mission is to serve both local..."
North Valley Caring Services,,,818-891-0481,Manny Flores,Executive Director,,CA,Pacific,,954444561,,https://www.nvcsinc.org,To empower neighborhood residents to build a vision of their community's future and to actively engage in solving local problems.
Arts in the Armed Forces INC,,,646-737-2137,Lindsay Miserandino,Executive Director,,CA,Pacific,,271409736,,https://aitaf.org,"Provides high-quality arts programming to active duty service members, veterans, military"
Jasper Ridge Farm,,,650-703-5199,Debra Weinstein,Executive Dir.,,CA,Pacific,,272304675,,https://www.jasperridgefarm.org,"Our goal is to improve the lives of children and adults in need in our community through interaction with our gentle animals, including children facing life-threatening illness, those living with special needs, those facing family challenges such as homelessness or domestic violence, Veterans and..."
Veterans Yoga Project,,,562-547-9329,Daniel Libby RYT 200,Executive Director,,CA,Pacific,,453606064,,https://www.veteransyogaproject.org,"Support the recovery and resilience among our veterans, military families, and communities."
Hillsborough Beautification Foundation,,,650-829-5159,AMY Bick,President,,CA,Pacific,,911883931,,https://hillsboroughbeautificationfoundation.org,"Hillsborough beautification foundation (hbf) is dedicated to enhancing the beauty ofthe public landscape, encouraging community engagement and civic pride in the town ofhillsborough, ca."
Swords to Plowshares Veterans Rights,,,415-252-4788,Michael Blecker,Executive Director,,CA,Pacific,,942260626,,https://www.swords-to-plowshares.org,"Swords to plowshares' mission is to heal the wounds of war, to restore dignity, hope and self-sufficiency to all veterans in need, and to significantly reduce homelessness and poverty among veterans."
Community Action Marin,,,415-526-7500,Chandra Alexandre,CEO,,CA,Pacific,,946136365,,https://www.camarin.org,"We make it possible for people in marin to achieve well-being by providing the vital services they need. Together, we break down the barriers that get in the way of fair and lasting change in service to better outcomes for all."
San Diego Air & Space Museum INC,,,619-234-8291,James Kidrick,President & CEO,,CA,Pacific,,952253027,,https://www.sandiegoairandspace.org,"Preserve....inspire....educate....celebrate!preserve significant artifacts of air and space history and technology. Inspire excellence in science, technology, engineering and mathematics."
Writers Guild Foundation,,,323-782-4679,Katie Buckland,Executive Dir.,,CA,Pacific,,237024900,,https://www.wgfoundation.org,"Founded in 1966, the writers guild foundation's mission is to preserve and promote the history and craft of writing for the screen. Through its library and archive, community programs, and educational events, the foundation engages, educates, and inspires emerging writers-especially those belonging..."
Biocom Institute,,,858-832-4162,Karmin Noar,Executive Director,,CA,Pacific,,261852884,,https://www.biocominstitute.org,"Biocom california institute is a 501(c)(3) organization established in 2008 by biocom california, the largest and most experienced advocate for california's life science sector. Our mission is to develop and promote a skilled and diverse pipeline of talent to accelerate the growth of california's..."
California State University San Marcos,,,760-750-4400,Jessica Berger,Executive Director,,CA,Pacific,,800390564,,https://www.csusm.edu/giving/foundation,"The csusm foundation supports and promotes the university's mission by cultivating and maximizing private charitable investment, stewarding resources carefully, creating and nurturing meaningful regional relationships and partnerships, engaging the university's communities, to inspire inclusive and..."
Call of the Sea,,,415-331-3214,Mark Welther,CEO,,CA,Pacific,,942951488,,https://www.callofthesea.org,"To inspire people of all ages and backgrounds to connect with the sea and its tributaries through educational programs abroad traditional sailing vessels that focus on the marine sciences, nautical heritage, the ocean environment and careers in the maritime profession. Our youth-oriented sail..."
Los Angeles Cleantech Incubator,,,213-358-6500,Mathew Petersen,President And CEO,,CA,Pacific,,454998717,,https://www.laincubator.org,"The organization was formed to perform and carry out expressly charitable contributions. The specific exempt purposes of the organization are (i) to accelerate the comercialization of clean technologies by providing support, education, workforce training, mentorship and networking for non-profit..."
Operation Dignity INC,,,510-287-8465,Daniel Lopez,President,,CA,Pacific,,943176007,,https://operationdignity.org,"Operation dignity's mission is to create pathways to health and housing for the most vulnerable individuals experiencing homelessness in our community, with a continuing commitment to serving veterans, - continue on sch o"
Green Foothills Foundation,,,650-968-7243,Megan Fluke,Executive Dir.,,CA,Pacific,,946121854,,https://www.greenfoothills.org,Our mission is to protect local nature and farmland to ensure a healthy environment for everyone.
International Guiding Eyes Inc,,,818-362-5834,Russell Gittlen,President,,CA,Pacific,,951586088,,https://www.guidedogsofamerica.org/,"The organizations mission is to transform lives through partnerships with service dogs.the organization provides professionally trained, expertly matched service dogs and personalized instruction in their care and use to people who are blind/visually impaired, veterans with ptsd or mobility..."
Santa Barbara Youth Sailing Foundation,,,805-965-4603,Eric Stokke,President,,CA,Pacific,,952487510,,https://sbysf.org,Promote Youth Sailing Skills
Operation Freedom Paws,,,408-683-9010,Mary Cortani,President & Ed,,CA,Pacific,,452566382,,https://www.operationfreedompaws.org,Operation Freedom Paws empowers veterans and individuals with disabilities to restore their freedom to live life.
Loaves & Fishes Family Kitchen,,,408-922-9085,Gisela Bushey,CEO,,CA,Pacific,,770370874,,https://www.loavesfishes.org,"Loaves & fishes family kitchen provides meals that are prepared, delivered, and served to hungry and homeless families, children, seniors, veterans, and disabled individuals free of charge. All are welcome, no questions asked."
Justin Turner Foundation,,,310-846-5770,Justin Turner,CEO,,CA,Pacific,,813996228,,https://justinturnerfoundation.com,"Support homeless veterans, children (and their families) battling life-altering illnesses and diseases and various organizations."
Angel City Alliance,,,310-505-5073,Jon Clayton Frech,CEO,,CA,Pacific,,822603747,,http://www.angelcitysports.org/,"Angel city sports creates sport oppourtunities for adults, children, and veterans with physical differences and impairments. Our goals are to encourage physical activity and demonstrate leadership."
1736 Family Crisis Center,,,323-737-3900,Carol A Adelkoff,CEO & Executive Director,,CA,Pacific,,953989251,,https://www.1736fcc.org,"To comprehensively help individuals and families through crisis circumstances, including domestic violence, homelessness, abuse, human trafficking, neglect, poverty, substance abuse, ptsd, and distress, and to improve their prospects for long-term stability and success."
New Directions INC,,,310-914-4045,Leonardo Cuadrado,Executive Director,,CA,Pacific,,954242745,,https://www.ndvets.org,"New directions, inc. Was organized pursuant to the general nonprofit corporation laws of the state of california for the purpose of empowering men and women who served in the military and their families to lead productive and fulfilling lives."
Planes of Fame Air Museum,,,909-597-3722,Jerry Wilkins,Executive Dir.,,CA,Pacific,,956092771,,https://www.planesoffame.org,"It is the mission of Planes of Fame Air Museum to preserve aviation history, inspire interest in aviation, educate the public and honor aviation pioneers and veterans."
Homeaid America INC,,,949-777-1660,Scott Larson,CEO,,CA,Pacific,,330673009,,https://www.homeaid.org,"Homeaid's mission is to help people experiencing or at risk of homelessness build new lives through construction, community engagement, and education."
Catholic Charities of the,,,707-528-8712,Leonard Marabella,CEO,,CA,Pacific,,942479393,,https://www.srcharities.org,"Catholic charities reaches out to those most in need, offers hope through service, and builds better communities. The agency's 26 programs in the counties of sonoma, napa, humboldt, and lake address critical needs by challenging poverty, caring for seniors, and counseling immigrants."
Help Hospitalized Veterans INC,,,951-926-4500,Joseph S Mcclain,CEO,,CA,Pacific,,952706737,,https://www.healvets.org,SEE SCHEDULE O
Go for Broke National Educational Center,,,310-328-0907,Mitchell Maki,President,,CA,Pacific,,954245623,,https://www.goforbroke.org,The mission of the go for broke national education center is to educate and inspire character and equality through the virtue and valor of our world war ii amarican veterans of japanese ancestry.
Wounded Warrior Homes INC,,,760-205-5050,Anna 'mia' Roseberry,Executive Director,,CA,Pacific,,271537405,,https://www.woundedwarriorhomes.org,Wounded warrior homes provides transitional houseing and reintegrative services for post 9/11 veterans with traumatic brain injury and post traumatic stress disorder.
Seal-nsw Family Foundation,,,760-533-7172,Duncan Smith,Executive Director,,CA,Pacific,,271963880,,https://www.sealfamilyfoundation.org,"To support individual and family readiness through an array of programs specifically targeted to assist the naval special warfare community in maintaining a resilient, sustainable, and healthy force in this era of persistent conflict and frequent deployments."
Community Housing Works,,,619-282-6647,Sean Spear,President & CEO,,CA,Pacific,,330317950,,https://communityhousingworks.org,"Community housingworks (""chw or the organization"") is a nonprofit california corporation incorporated on june 20, 1988. Chw believes that opportunity begins with a stable home."
Los Angeles Maritime Institute,,,310-833-6055,Bruce D Heyman,Executive Director,,CA,Pacific,,330515416,,https://www.lamitopsail.org,The Los Angeles Maritime Institute serves to empower youth to discover their greater potential through extrodinary at-sea experiences aboard educational sailing vessels built to train and equip young people with
Far Reaching Ministries,,,951-677-4474,Wesley Bentley,CEO,,CA,Pacific,,330776828,,https://www.frmusa.org,"Our mission is to carry the gospel of hope to the world with discipleship as our primary objective. We do this through the planting and establishing of churches, Bible schools, small groups, and one-to-one relationships."
Easter Seals Southern California INC,,,714-834-1111,Mark Whitley,CEO,,CA,Pacific,,943068149,,https://www.easterseals.com/southerncal,"Easter seals southern ca provides services that empower individuals with disabilities and special needs at all stages of life. Autism services, independent living services, social skills support, early childhood education services, and employment (continued on schedule o) services for civilians and..."
Hiller Aviation Institute,,,650-654-0200,Jon Welte,CEO,,CA,Pacific,,943226411,,https://www.hiller.org,THE HILLER AVIATION MUSEUM USES aviation to inspire adventure and innovation while using science to explore how dreams of flight become a reality
Inland Empire United Way,,,909-980-2857,Lisa Wright,President,,CA,Pacific,,330502676,,https://www.inlandsocaluw.org,The mission of inland empire united way is to engage the community to improve the lives and futures of those in need. We envision a caring community where everyone has access to needed resources to succeed.
Marines' Memorial Foundation,,,415-673-6672,LT GEN Michael Rocco Usmcret,President & CEO,,CA,Pacific,,455261064,,https://marinesmemorial.org,"The mission of the foundation is to honor the legacy of military service through its programs and by its direct support of the marines' memorial association in fulfilling its mission to commemorate the sacrifices of our nation's veterans, educate the public about those sacrifices, and serve..."
Fisher House Southern California,,,562-297-0990,Linda J Rahn,Exec Director,,CA,Pacific,,461815286,,https://www.fisherhouse.org,"The mission of fisher house southern california, inc. Is 1)to build and maintain fisher house residential facilities at hospitals on veteran administration campuses and military bases for the families of military vetereans and active forces undergoing treatment."
Angel Force USA,,,949-474-0123,Anne Hyde Dunsmore,President,,CA,Pacific,,831323840,,https://angelforceusa.com,"To promote public awareness for and support of scientific efforts to benefit suicide prevention and brain health in the veterans community. The organization is building an internet/web marketing outreach to market ""Stop SuiSilence"", a national public awareness campaign to broaden the understanding..."
Do It for the Love,,,844-484-3568,Cindy Dyar,Executive Director,,CA,Pacific,,870806633,,https://doitforthelove.org,"Wish granting organization that brings people living with life-threatening illnesses, children with severe challenges and wounded veterans to live concerts."
Meals on Wheels of the,,,831-375-4454,Christine Winge,Executive Dir.,,CA,Pacific,,942157521,,https://www.mowmp.org,"To empower seniors, disabled adults, veterans, and other under served populations to remain independent by nourishing their bodies, minds, and spirits, and drive our hunger and isolation in our region."
Service to School,,,209-526-3091,Christine Schwartz,CEO,,CA,Pacific,,463566678,,http://service2school.org,"Helping every military veteran transitioning to school win admission to the very best graduate or undergraduate institutions possible, provides test preparation,recommendations, resume assistance,application and essay review, interview preparation, and networking assistance"
Irreverent Warriors Inc,,,650-279-5377,Cindy Mcnally,CEO,,CA,Pacific,,474789126,,https://www.irreverentwarriors.com,"To improve mental health and prevent suicide of combat veterans through hikes, online platforms, and other events using humor and camaraderie to heal."
Legal Aid of Sonoma County,,,707-542-1290,Ronit Rubinoff,Executive Director,,CA,Pacific,,680008581,,https://www.legalaidsc.org,Legal aid's mission is to promote social justice and advance basic human rights for vulnerable people in our community.
Marines' Memorial Association,,,415-673-6672,LT GEN Michael Rocco Usmc RET,President,,CA,Pacific,,941055967,,https://marinesmemorial.org,"Honor the legacy of military service through a living memorial and programs that commemorate the sacrifices of our nation's veterans, educate the public about those sacrifices, and serve veterans of all eras, currently serving members of the armed forces and their families."
Community Human Services,,,831-658-3811,Robin Mccrae,Chief Executive Officer,,CA,Pacific,,946367167,,https://www.chservices.org,"Addiction, mental illness and homelessness destroy lives and weaken families, therefore community human services (chs) provides people of all ages with the tools and support to overcome these challenges and create lasting change in their lives."
Vietnam Veterans of San Diego,,,619-497-0142,Akilah Templeton,President & CEO,,CA,Pacific,,953649525,,https://www.vvsd.net,"Vietnam veterans of san diego is dedicated to extending assistance to needy and homeless veterans of all wars and eras and their families by providing housing, food, clothing, substance abuse recovery, mental health counseling, job training and job placement services.we believe in the inherent..."
Veterans Legal Institute,,,714-852-3492,Antoinette Balta,Executive Dir.,,CA,Pacific,,471608069,,https://www.vetslegal.org,"Veterans Legal Institute continues to be one the few public interest law firms in the nation dedicated wholly to homeless, disabled, and low income veterans. Military service changes a life forever."
