company_name,website,hq_city,hq_state,type,services,estimated_clients,aum_or_grants,source,notes
Foundation Source,foundationsource.com,Fairfield,CT,Dedicated Foundation Manager,"Full administration, compliance, tax, grantmaking platform",4000+,$26B+ AUM,Web + Database,"Largest dedicated manager. Acquired Pacific Foundation Services (2025), Giving Place, PG Calc. Partnership with Northern Trust & Fidelity."
Pacific Foundation Services,pfs-llc.net,San Francisco,CA,Dedicated Foundation Manager,"Full operations, accounting, grants management, strategic consulting",Unknown,$1B+ annual grants,Web + Database,Acquired by Foundation Source June 2025. Founded 1987.
Sterling Foundation Management,sterlingfoundations.com,Great Falls,VA,Dedicated Foundation Manager,"Foundation administration, charitable remainder trusts, philanthropy consulting",Unknown,Unknown,Web,"Oldest national firm (since 1998). CRT specialists. Full-spectrum foundation services."
Rockefeller Philanthropy Advisors,rockpa.org,New York,NY,Philanthropy Advisor,"Strategic philanthropy, fiscal sponsorship, grants management",100+ fiscal sponsor projects,$500M annual giving managed,Web,"Founded 2002. $4B+ granted to 70+ countries. Offices in NYC, Chicago, LA, SF."
The Philanthropic Initiative (TPI),tpi.org,Boston,MA,Philanthropy Advisor,"Strategic philanthropy consulting, program design, evaluation",Unknown,Unknown,Web,Works with companies, foundations, families, funder collaboratives.
Hirsch Philanthropy Partners (now Third Plateau),thirdplateau.com,San Francisco,CA,Philanthropy Advisor,"Program design, grants management, foundation administration, political philanthropy",Unknown,Unknown,Web,"Founded 1999. Merged with Third Plateau in 2023. One of the first US philanthropy advising firms."
Third Plateau,thirdplateau.com,San Francisco,CA,Philanthropy Advisor,"Philanthropy strategy, foundation management, grants management",Unknown,Unknown,Web,Merged with Hirsch Philanthropy Partners in 2023.
Bridgespan Group,bridgespan.org,Boston,MA,Strategy Consultant,"Strategy consulting for foundations, nonprofits, philanthropists",Unknown,Unknown,Web,"Spun off from Bain & Company in 2000. 20+ years experience. Serves clients with $100B+ in assets."
Bessemer Trust,bessemertrust.com,New York,NY,Multi-Family Office,"Private foundation advisory, DAFs, investment management, family office",3000+ families/foundations/endowments,$200B+ AUM,Web + Database,"Founded 1907. 98.4% retention. $10M minimum. 19 regional offices."
Whittier Trust,whittiertrust.com,Pasadena,CA,Multi-Family Office,"Foundation administration, philanthropic advisory, wealth management",140+ foundations/DAFs/endowments,$20B+ AUM,Web + Database,"Founded 1935. Oldest/largest multi-family office in the West."
Glenmede Trust,glenmede.com,Philadelphia,PA,Trust Company,"Family philanthropy, private foundation management, OCIO",Unknown,$40B+ AUM,Web + Database,"Founded 1956 for Pew Trusts. Offices in NYC, NJ, Pittsburgh, DC, Cleveland, West Palm Beach, Wilmington."
Fiduciary Trust Company,fiduciary-trust.com,Boston,MA,Trust Company,"Foundation advisory, DAFs, estate planning, family office",Unknown,$34B AUM,Web + Database,"Founded 1885. Being acquired by GTCR (announced Nov 2025)."
Arden Trust Company,ardentrust.com,Wilmington,DE,Trust Company,"Charitable trusts, directed trusts, trust administration",60+ foundations,$5.4B AUA (database); $92B Kestra parent,Web + Database,Part of Kestra Financial. Formerly Reliance Trust Company of Delaware.
Crewe Foundation Services,crewefoundationservices.com,Salt Lake City,UT,Dedicated Foundation Manager,"Private foundation setup/admin, DAFs, supporting orgs, charitable trusts",Unknown,Unknown,Web,"Comprehensive planned giving. Full administration from setup to grant distribution."
BlueStone Services,bluestonesvc.com,Timonium,MD,Outsourced Administration,"Private foundation accounting, HR, admin support, grant administration",Unknown,Unknown,Web,"Outsourced accounting and HR consulting. Strategic planning support."
Armanino,armanino.com,San Ramon,CA,CPA/Advisory Firm,"Foundation management, accounting, compliance, fund administration",Unknown,Unknown,Web,"Full-service CPA firm with nonprofit specialty. Removes administrative burden."
GHJ Advisors,ghjadvisors.com,Los Angeles,CA,CPA/Advisory Firm,"Advisory, tax, accounting for nonprofits and private foundations",Unknown,Unknown,Web,"Offices in LA, Buffalo, Denver, Orange County, San Jose. HLB International member."
Foundation Group (501c3.org),501c3.org,Brentwood,TN,Formation/Compliance Services,"Foundation formation, compliance services, strategic advice",Unknown,Unknown,Web,"25+ years experience. SureStart formation service."
National Philanthropic Trust,nptrust.org,Jenkintown,PA,DAF Sponsor,"Donor advised funds, fiscal sponsorship, grantmaking",Unknown,$5.87B granted (2024),Web,"Largest independent DAF sponsor. 146,449 grants in 2024."
Tides Foundation,tides.org,San Francisco,CA,Fiscal Sponsor,"Fiscal sponsorship, grantmaking, fund management",80+ projects,$1B+ assets,Web,"Founded 1976. Model C fiscal sponsorship. 9% fee. $100K minimum budget."
New Venture Fund,newventurefund.org,Washington,DC,Fiscal Sponsor,"Fiscal sponsorship, incubation, grantmaking",243+ projects,$1B+ annual revenue (network),Web,"Part of Arabella network. Major philanthropic incubator. Acquired Sunflower Services."
Sunflower Services (formerly Arabella Advisors),N/A,Washington,DC,Fiscal Sponsor Services,"Fiscal sponsorship operations, administrative services",Multiple nonprofits,Unknown,Web,"New entity (Nov 2025) purchasing Arabella's fiscal sponsorship business."
Open Collective Foundation,opencollective.com,Remote,USA,Fiscal Sponsor,"Fiscal sponsorship for mutual aid, open source, community projects",Unknown,Unknown,Web,"5% fee. Transparent real-time financial management."
Fractured Atlas,fracturedatlas.org,New York,NY,Fiscal Sponsor (Arts),"Fiscal sponsorship for artists, filmmakers, creatives",4000+ artists,Unknown,Web,"8% fee. Arts-focused."
New York Foundation for the Arts (NYFA),nyfa.org,New York,NY,Fiscal Sponsor (Arts),"Fiscal sponsorship, grants, career development for artists",Unknown,Unknown,Web,Arts-focused fiscal sponsor and grant provider.
Family Philanthropy Advisors,fpadvisors.com,Unknown,Unknown,Philanthropy Advisor,"Foundation management, strategy, major initiative design",Unknown,Unknown,Web,Full management services for foundations.
Cascade Philanthropy Advisors,cascadephilanthropy.org,Unknown,Unknown,Philanthropy Advisor,"Philanthropic strategy, grantmaking support",Unknown,Unknown,Web,Works with multibillion-dollar foundations to families.
RISE Philanthropy Advisors,Unknown,Unknown,Unknown,Philanthropy Advisor,"Individual and family philanthropy, grantmaking",Unknown,Unknown,Web,"Founded by Sue Pyke and Christy Wilson. 40+ years experience."
Daylight Advisors,daylightadvisors.com,Unknown,Unknown,Philanthropy Advisor/Training,"Advisor training, philanthropy knowledge platform",Unknown,Unknown,Web,Training for philanthropy advisors.
CCS Fundraising,ccsfundraising.com,New York,NY,Fundraising Consultant,"Campaign strategy, development consulting for foundations",Unknown,$26B annual campaign goals,Web,"Founded 1947. Global firm. Offices in North America, London, Dublin."
Convergent Nonprofit Solutions,convergentnonprofit.com,Atlanta,GA,Fundraising Consultant,"Capital campaigns, feasibility studies, investment-driven fundraising",Unknown,Unknown,Web,Founded 2009. Merger of five national firms.
Aly Sterling Philanthropy,alysterling.com,Toledo,OH,Fundraising Consultant,"Strategic planning, campaign management, board development",Unknown,Unknown,Web,Founded 2007. Member of The Giving Institute.
Fidelity Private Foundation Services,fidelity.com,Boston,MA,Financial Institution,"Foundation formation, administration, tax reporting",Unknown,Unknown,Web,Partnership with Foundation Source. Available through Fidelity Family Office Services.
Goldman Sachs Ayco,goldmansachs.com/ayco,Cohoes,NY,Financial Institution,"Philanthropic planning, DAF management, foundation advisory",$2M minimum institutional,Unknown,Web,Ayco Charitable Foundation manages DAFs. Part of Goldman Sachs since 2003.
UBS Family Advisory and Philanthropy,ubs.com,New York,NY,Financial Institution,"Philanthropic advisory, giving vehicles, co-investment with UBS Optimus Foundation",Unknown,Unknown,Web,Global wealth management with philanthropy division.
Vanguard Charitable,vanguardcharitable.org,Malvern,PA,DAF Sponsor,"Donor advised funds (alternative to private foundations)",Unknown,Unknown,Web,"Founded 1997. $25K minimum. Not direct foundation admin but complementary."
Schwab Charitable (DAFgiving360),dafgiving360.org,San Francisco,CA,DAF Sponsor,"Donor advised funds (alternative to private foundations)",Unknown,Unknown,Web,Founded 1999. Alternative to private foundation.
Fidelity Charitable,fidelitycharitable.org,Boston,MA,DAF Sponsor,"Donor advised funds (alternative to private foundations)",Unknown,Unknown,Web,Largest DAF sponsor. Companion to Fidelity Private Foundation Services.
J.P. Morgan Private Bank Philanthropy,privatebank.jpmorgan.com,New York,NY,Financial Institution,"Private foundation management, grantmaking, strategy",Hundreds of organizations,Unknown,Web,"Full foundation management. Decades of experience. Part of JPMorgan Chase."
Plante Moran,plantemoran.com,Southfield,MI,CPA/Advisory Firm,"Family office services, philanthropy best practices",Unknown,Unknown,Web,One of nation's largest CPA firms. Family wealth management.
Foundation for the Carolinas,fftc.org,Charlotte,NC,Community Foundation,"Private foundation services, family office partnership, fiscal sponsorship",Unknown,Unknown,Web,Provides foundation services to family offices in the Carolinas.
Marin Community Foundation,marincf.org,Novato,CA,Community Foundation,"Family Office of Philanthropy, foundation services, wealth management partnership",Unknown,Unknown,Web,"Elevated service level. Allows using own family office for investment."
Silicon Valley Community Foundation,siliconvalleycf.org,Mountain View,CA,Community Foundation,"Foundation services, DAFs, fiscal sponsorship",Unknown,$15B+ assets,Web,One of largest community foundations. Major tech philanthropy hub.
The Chicago Community Trust,cct.org,Chicago,IL,Community Foundation,"Foundation services, DAFs, philanthropic advisory",Unknown,Unknown,Web,Major Midwest community foundation.
The Cleveland Foundation,clevelandfoundation.org,Cleveland,OH,Community Foundation,"Foundation services, DAFs, philanthropic advisory",Unknown,Unknown,Web,"First community foundation (1914). Major Midwest hub."
California Community Foundation,calfund.org,Los Angeles,CA,Community Foundation,"Foundation services, DAFs, fiscal sponsorship",Unknown,Unknown,Web,Major LA-area community foundation.
Confluence Philanthropy,confluencephilanthropy.org,New York,NY,Membership Network,"Investment alignment, values-based philanthropy support",260+ members,$96B+ philanthropic AUM,Web,Supports foundations and family offices with sustainable/impact investing.
Exponent Philanthropy,exponentphilanthropy.org,Washington,DC,Membership Association,"Resources, directory of advisors, benchmarking for lean foundations",Unknown,Unknown,Web,"Largest association of funders. Focus on leanly staffed foundations. Advisor Directory available."
Council on Foundations,cof.org,Arlington,VA,Membership Association,"Resources, networking, legal compendium, member directory",Unknown,Unknown,Web,Major foundation membership organization. Associate members include service providers.
National Center for Family Philanthropy,ncfp.org,Washington,DC,Membership Association,"Resources, networking, consulting for family philanthropy",350+ foundations,Unknown,Web,Learning Network for philanthropic families. Partner directory available.
Forum of Regional Associations of Grantmakers (United Philanthropy Forum),unitedphilforum.org,Washington,DC,Membership Network,"Regional association support, member directory",7000+ philanthropic organizations,Unknown,Web,Network of 55 regional/national philanthropy associations.
Fiscal Sponsor Directory (fiscalsponsordirectory.org),fiscalsponsordirectory.org,San Francisco,CA,Directory,"Directory of 300+ fiscal sponsors nationally",300+ listed,Unknown,Web,Maintained by San Francisco Study Center. Searchable by state/service.
National Network of Fiscal Sponsors,fiscalsponsors.org,Washington,DC,Membership Association,"Standards, resources for fiscal sponsors",Unknown,Unknown,Web,Professional association for fiscal sponsors.
